region,price,change
Auckland Region,650,0.0
Bay of Plenty Region,650,-3.7
Canterbury Region,540,-5.3
Gisborne Region,640,-1.5
Hawke's Bay Region,590,-6.3
Manawatū-Whanganui Region,510,-3.8
Marlborough Region,593,2.2
Nelson Region,485,-8.5
Northland Region,575,4.5
Otago Region,550,-22.5
Southland Region,450,-10.0
Taranaki Region,550,-1.8
Tasman Region,520,-6.8
Waikato Region,560,-2.6
Wellington Region,665,2.3
West Coast Region,440,-2.2
